"Im Demo Modus kann das letzte Zimmer nicht gelöscht werden","You can not remove the last room if the programm is in demo mode","NULL","NULL","In demo modus kan de laaste kamer niet gewist worden"
"Der Testbenutzer kann im Demo-Modus nicht verändert werden.","You can not change the test user in the demo mode.","NULL","NULL","De testgebruiker kan in demo modus niet aangepast worden."
"Es ist mindestens eine Übernachtung erforderlich","It is at least one overnight necessary","C'est au moins un nécessaire durant la nuit","NULL","Minstens één overnachting is noodzakelijk"
"installiere Teil 2","install part 2","NULL","NULL","Installatie - Deel 2","NULL"
"installiere Teil 3","install part 3","NULL","NULL","Installatie - Deel 3","NULL"
"Wenn Sie alle Punkte erfolgreich ausgeführt haben, können Sie Ihren Plan verwenden","If all installation steps done correctly you can use Rezervi","NULL","NULL","Wanneer alle punten met succes zijn uitgevoerd, kunt u Rezervi gaan gebruiken","NULL"
"Benutzen Sie dafür folgende URLs","Please use following URLs","NULL","NULL","Hiervoor kunt u de volgende URLs gebruiken","NULL"
"Die Startseite Ihres Belegungsplanes","The main site of the availability overview","NULL","NULL","De hoofdpagina voor het reserveringsoverzicht","NULL"
"http://ihre-domain/ihrInstallationsverzeichnis/","http://your-domain/yourInstallationFolder/","NULL","NULL","http://uw-domain/UwInstallatieDirectory/","NULL"
"Dieser Seite können Sie auch die gewünschte Sprache übergeben","You can add a language to this link","NULL","NULL","Met deze pagina kan ook de gewenste taal meegegeven worden","NULL"
"Sie können auch direkt die Suchfunktion aufrufen","You can directly go to the search function","NULL","NULL","Direct naar de zoekpagina gaan","NULL"
"Auch dieser Seite kann die gewünschte Sprache übergeben werden","You can also add a language to this link","NULL","NULL","Ook bij de volgende pagina's kan de taal meegegeven worden","NULL"
"Den Zugang zur Webschnittstelle erhalten sie über","The access to the webinterface is with","NULL","NULL","Toegang tot de webinterface","NULL"
"Nach erfolgreicher Installation sollten Sie den Ordner &quot;install&quot; auf Ihrem Webserver löschen, ansonsten kann durch einen Angriff von aussen Ihre Datenbank verändert werden","Please remove the folder &quot;install&quot; from your webserver if the installation is successful. Otherwise someone from outside can destroy your installation","NULL","NULL","Nadat de installatie met succes is uitgevoerd de directory &quot;install&quot; op uw webserver wissen, anders kan het gebeuren dat van buitenaf uw datenbank aangepast wordt","NULL"
"Wir sind ihnen auch gerne bei Fragen zur Installation behilflich. Senden sie uns einfach ein E-Mail unter","If you have problems - we can help you with the installation. Please send an eMail to","NULL","NULL","Wanneer u problemen heeft, kunnen wij u ook met de installatie helpen. Stuur hiervoor een e-mail aan","NULL"
"Teil 3 abgeschlossen","Part 3 finished","NULL","NULL","Deel 3 - afgesloten","NULL"
"So können sie Rezervi verlinken","So you can set links to Rezervi","NULL","NULL","Zo kunt u Rezervi verlinken","NULL"
"Verwenden sie als Benutzername und Passwort 'test' und ändern sie das Passwort nach erstmaligem Einstieg.","Please use the username and password 'test' and change it after your first login.","NULL","NULL","Als gebruikersnaam en wachtwoord kunt u 'test' invullen, het wachtwoord a.u.b. na de eerste aanmelding aanpassen!","NULL"
"Name der Unterkunft in Italienisch","Name of the accommodation in Italian","NULL","NULL","Naam van het verblijf in het italiaans","NULL"
"Name der Unterkunft in Spanisch","Name of the accommodation in Spain","NULL","NULL","Naam van het verblijf in het spaans","NULL"
"Name der Unterkunft in Estnisch","Name of the accommodation in Estnia","NULL","NULL","Naam van het verblijf in het estniaans","NULL"
"Land auf Spanisch","State in Spain","NULL","NULL","Land in het spaans","NULL"
"Land auf Estnisch","State in Estnia","NULL","NULL","Land in het estniaans","NULL"
"Art der Unterkunft in Englisch (z. B. Hotel, Pension, ...)","Type of the accommodation in English (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Engels (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Französisch (z. B. Hotel, Pension, ...)","Type of the accommodation in French (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Frans (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Deutsch (z. B. Hotel, Pension, ...)","Type of the accommodation in German (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Duits (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Italienisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Italian (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Italiaans (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Spanisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Spain (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Spaans (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Estnisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Estnia (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Estoniaans (b.v. hotel, pension, ...)","NULL"
"(z. B. Ferienwohnung, Ferienhaus, Zimmer, Appartement)","(e.g. appartement, house, room)","NULL","NULL","(b.v. vakantiewoning, kamer appartement)","NULL"
"Bezeichnung der Zimmer in Deutsch","Name of the rooms in German","NULL","NULL","Omschrijving van de kamers in het Duits","NULL"
"Bezeichnung der Zimmer in Englisch","Name of the rooms in English","NULL","NULL","Omschrijving van de kamers in het Engels","NULL"
"Bezeichnung der Zimmer in Französisch","Name of the rooms in French","NULL","NULL","Omschrijving van de kamers in het Frans","NULL"
"Bezeichnung der Zimmer in Italienisch","Name of the rooms in Italian","NULL","NULL","Omschrijving van de kamers in het Italiaans","NULL"
"Bezeichnung der Zimmer in Spanisch","Name of the rooms in Spain","NULL","NULL","Omschrijving van de kamers in het Spaans","NULL"
"Bezeichnung der Zimmer in Estnisch","Name of the rooms in Estnia","NULL","NULL","Omschrijving van de kamers in het Estniaans","NULL"
"Bezeichnung der Zimmer in Deutsch - Mehrzahl","Name of the rooms in German - plural","NULL","NULL","Omschrijving van de kamers in het Duits - meervoud","NULL"
"Bezeichnung der Zimmer in Englisch - Mehrzahl","Name of the rooms in English - plural","NULL","NULL","Omschrijving van de kamers in het Engels - meervoud","NULL"
"Bezeichnung der Zimmer in Französisch - Mehrzahl","Name of the rooms in French - plural","NULL","NULL","Omschrijving van de kamers in het Frans - meervoud","NULL"
"Bezeichnung der Zimmer in Italienisch - Mehrzahl","Name of the rooms in Italian - plural","NULL","NULL","Omschrijving van de kamers in het Italiaans - meervoud","NULL"
"Bezeichnung der Zimmer in Spanisch - Mehrzahl","Name of the rooms in Spain - plural","NULL","NULL","Omschrijving van de kamers in het Spaans - meervoud","NULL"
"Bezeichnung der Zimmer in Estnisch - Mehrzahl","Name of the rooms in Estnia - plural","NULL","NULL","Omschrijving van de kamers in het Estniaans - meervoud","NULL"
"Es wurden nicht alle Felder korrekt ausgefüllt!","The fields are not correcty filled in!","NULL","NULL","Niet alle velden zijn correct ingevuld!","NULL"
"Texte in Italienisch","Texts in Italian","NULL","NULL","Tekst in het Italiaans","NULL"
"Texte in Spanisch","Texts in Spain","NULL","NULL","Tekst in het Spaans","NULL"
"Texte in Estnisch","Texts in Estnia","NULL","NULL","Tekst in het Estniaans","NULL"
"(z. B. Zimmer, Wohnung, Ferienwohnung, Appartement, etc.)","(e.g. room, appartement, ...)","NULL","NULL","(b.v. kamer, woning, vakantiewoning, appartement, enz.)","NULL"
"Reservierungsplan bearbeiten","availability overview","NULL","NULL","Reserveringsovrzicht bewerken","NULL"
"Anfragen bearbeiten","booking requests","NULL","NULL","Aanvragen bewerken","NULL"
"Gäste bearbeiten","guests","NULL","NULL","Gasten bewerken","NULL"
"Benutzerdaten bearbeiten","users","NULL","NULL","Gebruikersgegevens bewerken","NULL"
"Zimmer bearbeiten","rooms","NULL","NULL","Kamer bewerken","NULL"
"Unterkunft bearbeiten","accommodation","NULL","NULL","Verblijf bewerken","NULL"
"Diverse Einstellungen","adjustements","NULL","NULL","Diverse instellingen","NULL"
"Automatische e-Mails","automatical eMails","NULL","NULL","Automatische e-mails","NULL"
"Abmelden","log out","NULL","NULL","Afmelden","NULL"
"einen weiteren anlegen","add another one","NULL","NULL","een volgende toevoegen","NULL"
"Zimmer anlegen","add new room","NULL","NULL","Een nieuwe kamer/appartement toevoegen","NULL"
"Bitte geben Sie die Anzahl der Betten für Kinder und Erwachsene ein!","Please fill in the number of beds for children and adults!","NULL","NULL","A.u.b. het aantal van bedden voor volwassene en kinderen invullen!","NULL"
"einen Monat zurück","previous month","NULL","NULL","vorige maand","NULL"
"einen Monat weiter","next month","NULL","NULL","volgende maand","NULL"
"Sprache","Language","NULL","NULL","Taal","NULL"
"Es liegen folgende Reservierungen für den Gast vor (aufsteigend sortiert)","Here are the reservations for this guest (it shows last reservation first)","NULL","NULL","Reserveringen van deze gast (oplopend gesorteerd)","NULL"
"Gast löschen","delete guest","NULL","NULL","gast wissen","NULL"
"Ändern der Standard-Sprache des Belegungsplanes und Webinterfaces","Change the default language of your webinterface and availability overview","NULL","NULL","Standaardtaal aanpassen voor het Reserveringsoverzicht en de Webinterface","NULL"
"estonisch","Estonian","NULL","NULL","Estoniaans","NULL"
"ändern","change","NULL","NULL","aanpassen","NULL"
"Wenn sie diese Felder leer lassen wird auch in dieser Sprache die Standardsprache verwendet.","If you don't fill in these fields for this language the default language will be used.","NULL","NULL","Wanneer u deze velden leeg laat, zal in deze taal ook de stadaard taal gebruikt worden.","NULL"
"Gast-Infos anzeigen","Guest informations","NULL","NULL","Gasten informatie tonen","NULL"
"Anfrage löschen","delete booking request","NULL","NULL","Reserveringsaanvraag afwijzen","NULL"
"Anfrage bestätigen","confirm booking request","NULL","NULL","Reserveringsaanvraag bevestigen","NULL"
"Bitte geben Sie Ihre Nachricht ein!","Please fill in your message!","S'il vous plaît écrivez votre message!","NULL","Vul a.u.b. uw bericht in!","NULL"
"Gäste-Daten abfragen und bearbeiten","Get and change guest data","NULL","NULL","Gasten informatie opvragen en bewerken","NULL"
"Gast ändern","change guest","NULL","NULL","Gast aanpassen","NULL"
"fett","bold","NULL","NULL","vet"
"fetter","bolder","NULL","NULL","extra vet"
"standard","normal","NULL","NULL","normaal"
"kursiv","italic","NULL","NULL","kursief"
"links","left","NULL","NULL","links"
"rechts","right","NULL","NULL","rechts"
"zentriert","center","NULL","NULL","centreert"
"Blocksatz","justify","NULL","NULL","uitgevult"
"Wenn sie keinen Gast eingeben wird die Reservierung für einen anonymen Gast gespeichert","If you don't insert a guest the reservation will be stored with an anonymous guest","NULL","NULL","Wanneer geen gast wordt aangegeven, zal de reservering voor een anonieme gast opgeslagen worden"
"keinen Gast eingeben","insert no guest","NULL","NULL","geen gast ingevuld"
"anonymer Gast","anonymous guest","NULL","NULL","anonieme gast"
"Bilder hochladen oder ändern","Add or change pictures","NULL","NULL","Foto's uploaden of aanpassen"
"Bilder","pictures","NULL","NULL","Foto's"
"Einstellungen für Bilder der Zimmer","Picture settings for rooms","NULL","NULL","Instellingen voor foto's van de kamer"
"Bilder bei Suchergebnissen anzeigen","Show pictures at the result page of the search function","NULL","NULL","Foto's bij zoekresultaten weergeven"
"Maximale Höhe bei upload","Maximum width at upload time","NULL","NULL","Maximale hoogte bij upload"
"Maximale Breite bei upload","Maximum height at upload time","NULL","NULL","Maximale breedte bij upload"
"Die Einstellungen wurden erfolgreich geändert","The settings were changed successful","NULL","NULL","De instellingen zijn met succes aangepast"
"Bilder für Zimmer/Appartement/Wohnung/etc. hochladen","Upload pictures for rooms","NULL","NULL","Foto's voor kamers/appartementen/enz. Uploaden"
"Bild","Picture","NULL","NULL","Foto"
"Beschreibung","Description","NULL","NULL","Omschrijving"
"Das Upload Verzeichnis konnte nicht erstellt werden","Creating the upload directory was not successful","NULL","NULL","Upload directory kon niet aangemaakt worden"
"Das Bild wurde erfolgreich hochladen","The upload of the picture was successful","NULL","NULL","De foto is met succes geuploaded"
"Bitte wählen sie ein Zimmer!","Select a room please!","NULL","NULL","Selecteer a.u.b. een kamer!"
"Bitte wählen sie ein Bild!","Choose a picture please!","NULL","NULL","Selecteer a.u.b. een foto!"
"Das Bild wurde erfolgreich hochgeladen.","File upload succussful!","NULL","NULL","De foto is met succes geuploaded"
"Das Bild konnte nicht hochgeladen werden!","Possible file upload attack!","NULL","NULL","De foto kon niet geupload worden"
"URL zu weiteren Informationen (z. B. http://www.rezervi.com/index.php)","URL for more informations (e.g.: http://www.rezervi.com/index.php)","NULL","NULL","URL voor meer informatie (b.v.: http://www.rezervi.com/index.php)"
"Haustiere erlaubt","Pets permitted","NULL","NULL","Huisdieren toegestaan"
"Haustiere","Pets","NULL","NULL","Huisdieren"
"Samstag frei","Saturday available","NULL","NULL","Zaterdag vrij"
"Samstag reserviert","Saturday reserved","NULL","NULL","Zaterdag gereserveerd"
"Samstag belegt","Saturday occupied","NULL","NULL","Zaterdag gereserveerd"
"Ändern der Farbe der Samstag belegt-Anzeige","Change the colour of the occupied marks","NULL","NULL","Kleur aanpassen voor de weergave Zaterdag gereserverd"
"Ändern der Farbe der Samstag frei-Anzeige","Change the colour of the non occupied Saturdays","NULL","NULL","Kleur aanpassen voor de weergave Zaterdag vrij"
"Ändern der Farbe der Samstag reserviert-Anzeige","Change the colour of the reserved Saturdays"
"Link","Link","NULL","NULL","Link"
"Bilder für Zimmer/Appartement/Wohnung/etc. löschen","Delete uploaded pictures for rooms","NULL","NULL","Foto's voor kamers/appartementen/enz. Wissen"
"Bilder löschen","Delete pictures","NULL","NULL","Foto's wissen"
"Bild löschen","Delete picture","NULL","NULL","Foto Wissen"
"Bild wirklich löschen?","Are you sure to delete the picture?","NULL","NULL","Foto daadwerkelijk wissen?"
"weitere Bilder löschen","delete more pictures","NULL","NULL","nog meer foto's wissen"
"Das Bild konnte nicht gelöscht werden.","Deleting the picture was not successful.","NULL","NULL","De foto kon niet gewist worden"
"Das Bild wurde erfolgreich gelöscht.","The picture was deleted successful.","NULL","NULL","De foto is met succes gewist"
"zurückblättern","previous page","NULL","NULL","vorige pagina"
"weiterblättern","next page","NULL","NULL","volgende pagina"
"Belegungsplan&nbsp;","availability overview","NULL","NULL","reserveringsoverzicht"
"Einstellungen für den Belegungsplan","Properties for the availability overview","NULL","NULL","Instellingen voor het reserveringsoverzicht"
"Die Suchoptionen wurden erfolgreich geändert!","The search options was changes successful!","NULL","NULL","De zoekopties zijn met succes aangepast!"
"Die Änderungen wurden erfolgreich durchgeführt!","The changes were successful!","NULL","NULL","De aanpassingen zijn met succes uitgevoerd!"
"Samstage andersfärbig anzeigen.","Show Saturdays in other color.","NULL","NULL","Zaterdagen met een andere kleur tonen."
"Um die Farbe des Samstages zu ändern müssen sie [Design bearbeiten] aufrufen und die Hintergrundfarben zu [Samstag belegt] und [Samstag frei] ändern.","To change the color of the Saturdays you have to go to [change the design]. There you have to change the background colors of [Saturday not occupied] and [Saturday occupied]","NULL","NULL","Um de kleur van de zaterdagen aan te passen, ga naar [design aanpassen] en pas de achtergrondkleuren aan voor [zaterdag gereserveerd] en [zaterdag vrij]"
"Suche","search","NULL","NULL","zoeken"
"Ändern der Suchoptionen","Change search options","NULL","NULL","Zoekopties aanpassen"
"Markieren sie jene Auswahlmöglichkeiten, die bei der Suche zur Verfügung stehen sollen","Check the options that should be available for the search function","NULL","NULL","Selecteer de velden welke bij het zoeken gebruikt kunnen worden"
"Bitte wählen sie ein Zimmer aus!","Please select a room!","NULL","NULL","Selecteer a.u.b. een kamer!"
"Suche nach Anzahl der Erwachsenen und/oder Kindern auf gesamte Unterkunft einschränken","Limit the search for number of adults and/or children to entire accommodation","NULL","NULL","Zoekopdracht beperken m.b.t. het aantal volwassene en/of kinderen voor het gehele verblijf"
"Suche nach Anzahl der Erwachsenen und/oder Kindern auf einzelne Zimmer einschränken","Limit the search for number of adults and/or children to single rooms","NULL","NULL","Zoekopdracht beperken m.b.t. het aantal volwassene en/of kinderen voor een enkele kamer"
"Einschränken von Buchungen innerhalb eines bestimmten Zeitraumes","Restrictions of bookings in a time period","NULL","NULL","Het beperken van reserveringen voor een bepaalde tijds periode"
"Buchung einschränken","restriction of booking","NULL","NULL","reservering beperken"
"aktiviert","active","NULL","NULL","aktief"
"Zeitraum (z. B. Saison)","time period (saison)","NULL","NULL","tijd periode (b.v. seizoen)"
"Tag von","Day from","NULL","NULL","Dag van"
"Tag bis","Day to","NULL","NULL","Dag tot"
"Datum von","Date from","NULL","NULL","Datum van"
"Datum bis","Date to","NULL","NULL","Datum tot"
"Der Datensatz wurde erfolgreich entfernt","The date was deleted successful","NULL","NULL","De datum is met succes gewist!"
"Der Datensatz wurde erfolgreich hinzugefügt","The date was added successful","NULL","NULL","De datum is met succes toegevoegd"
"Buchungen sind nur von","Bookings are only from","NULL","NULL","Reserveringen zijn alleen van"
"erlaubt","allowed","NULL","NULL","toegestaan"
"Das gewählte Datum ist von","The choosen date is from","NULL","NULL","De gekozen datum is van"
"Die Buchungseinschränkung überschneidet sich mit einer bereits existierenden!","The booking restriction overlaps with an existing!","NULL","NULL","De reserveringsbeperking overlapt zich met een reeds bestaande!"
"Buchungsformular","booking form","NULL","NULL","Reserveringsformulier"
"Einstellungen für das Buchungsformular","Changes for the booking form","NULL","NULL","Instellingen voor het reserveringsformulier"
"Übernachtung","Overnight stay","Hébergement","NULL","Overnachting"
"Frühstück","Bed and breakfast","Petit-déjeuner","NULL","Ontbijt"
"Halbpension","Half board","Demi-pension","NULL","Halfpension"
"Vollpension","Full board","Pension complète","NULL","Volpension"
"Zusätzliche Attribute anzeigen:","Show following attributes:","NULL","NULL","Volgende attributen tonen:"
"Die Änderungen wurden erfolgreich durchgeführt.","The changes were done successful","NULL","NULL","De aanpassingen zijn met succes uitgevoerd!"
"hinzufügen","add","NULL","NULL","toevoegen"
"Zeitraum (z. B. Saison):","Period (eg. saison)","NULL","NULL","Periode (b.v. seizoen)"
"Bitte ändern sie nun ihre Einstellungen im Webinterface","Please change your setting in the webinterface now","NULL","NULL","A.u.b. uw instellingen nu in de webinterfache aanpassen"
"Webinterface öffnen","open webinterface","NULL","NULL","Webinterface openen"
"Es wurden noch keine Mietobjekte (z. B. Zimmer) eingegeben. Bitte rufen sie das Webinterface auf und geben sie ihre Mietobjekte ein.","You have no object for rent (eg. rooms) in your database. Please go to the webinterface and define your objects of rent.","NULL","NULL","Er zijn nog geen huurobjekten (b.v. kamers) in de datenbank ingevoerd. Start de webinterface en voeg objekten toe."
"löschen/hinzufügen","remove/add","NULL","NULL","wissen/toevoegen"
"Zu dieser Zeit ist bereits eine Buchung eingetragen!","At this time already a reservation is registered!","NULL","NULL","Voor deze tijd bestaald al een reservering"
"Bitte löschen sie zuerst bereits vorhandene Buchungen zu diesem Datum!","Please delete first existing reservations for this date!","NULL","NULL","A.u.b. de voor deze datum reeds bestaande reservering wissen!"
"Pension","Arrangement","NULL","NULL","Pension"
"G&auml;ste-Daten abfragen und bearbeiten","Show and edit guests","NULL","NULL","Gasten informatie opvragen en bewerken"
"Es werden hier nur Sprachen angeboten die unter dem Menüpunkt [Sprachen] ausgewählt wurden","You can see only this languages that you have selected in the menue point [languages]","NULL","NULL","Hier worden alleen de talen weergegeven, welke onder het menupunt [Talen] zijn geselecteerd"
"Kopie an eigene E-Mailadresse senden","Send a copy of the mail on my own e-mail address","NULL","NULL","Kopie aan eigen e-mailadres versturen"
"Folgende Nachricht wurde an ihren Gast versendet","Following message was sent to your guest","NULL","NULL","Het navolgende bericht wird aan uw gast verstuud"
"Die Anfrage wurde in holländische Sprache gestellt","The booking request was done in Dutch","NULL","NULL","De aanvraag is in het nederlands gemaakt"
"Texte in Holländisch","Texts in Dutch","NULL","NULL","Tekst in het nederlands"
"Niederländisch","Dutch","NULL","NULL","Nederlands"
"Name der Unterkunft in Holländisch","Name of the accommodation in Dutch","NULL","NULL","Naam van het verblijf in het Nederlands"
"Land auf Holländisch","State in Dutch","NULL","NULL","Land in het Nederlands"
"Zimmernummer in Holländisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in Dutch (e.g. 'A', '10' or 'room with balkony')","NULL","NULL","Kamernummer in het Nederlands (b.v. Type A, Nr. 10, kamer met balkon, enz.)"
"Beschreibung in Holländisch","Description in Dutch","NULL","NULL","Beschrijving in het Nederlands"
"Zimmerart in holländisch","Type of the room in Dutch","NULL","NULL","Kamertype in het nederlands"
"Art der Unterkunft in Holländisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Dutch (e.g. hotel, house, ...)","NULL","NULL","Type van verblijf in het Nederlands (b.v. hotel, pension, ...)"
"Bezeichnung der Zimmer in Holländisch","Name of the rooms in Dutch","NULL","NULL","Omschrijving van de kamers in het Nederlands"
"Bezeichnung der Zimmer in Holländisch - Mehrzahl","Name of the rooms in Dutch - plural","NULL","NULL","Omschrijving van de kamers in het Nederlands - meervoud"
"Verwenden sie den Benutzernamen und das Password ","Please use as username and password ","NULL","NULL","Gebruik als gebruikersnaam en wachtwoord "
"wenn sie sich das erste mal anmelden. Vergessen sie nicht diese Daten danach zu ändern!","when you logon for the first time. Please change this after login!","NULL","NULL","wanneer u voor de eerste keer aanmeld. Vergeet niet deze gegevens na de eerste aanmelding aanpassen!"
"Weitere Attribute für Zimmer/Appartement/Wohnung/etc. bearbeiten","Edit additional attributes for rooms/appartements/etc."
"Attribute ändern","Edit attributes"
"Bezeichnung","label"
"Beschreibung","description"
"Attribute anzeigen","Show attributes"
"Das Attribut wurde erfolgreich entfernt.","The attribut was removed successfully"
"Das Attribut wurde erfolgreich hinzugefügt.","The attribut was added successfully"
"Die Attribute wurden erfolgreich gespeichert.","The attributes were changed successfully"
"Frame horizontal teilen","Split frame horizontal"
"Ansichten anzeigen","Show views"
"Preise hinzufügen, ändern, löschen","Add, change or remove prices"
"gültig von","valid from"
"gültig bis","vilid to"
"Saisonpreise bearbeiten","Edit season prices"
"Der Preis muss eingegeben werden.","Please insert the price."
"Der Preis ist kein gültiger Wert.","The price is not valid."
"Das gewählte Datum ist nicht korrekt.","The selected date is not valid."
"Es muss mindestens ein Mietobjekt ausgewählt werden.","You have to select at least one object to rent"
"Mietobjekt","object to rent"
"Der Preis wurde erfolgreich hinzugefügt.","The price was added successful."
"Der Preis wurde erfolgreich gelöscht.","The price was deleted successful."
"Die Preise wurden erfolgreich geändert.","The prices was changed successful."
"Definieren sie hier für jedes Mietobjekt einen Standardpreis. Wird bei der Berechnung des Preises kein Preis für eine Saison gefunden, dann wird dieser Preis zur Preisberechnung herangezogen.","Please define for every object to rent a price. If no saison price could be found, this price is the price for calculations."
"Gesamtpreis","all in price"
"Bitte geben sie die Waehrung ein.","Please fill in the currency"
"Währung ihrer Preisangaben","Currency of your prices"
"Reservierungen","Reservations"
"Einstellungen für Reservierungen","Properties of reservations"
"Eingehende Anfragen nach","Delete requests after"
"Tagen löschen falls unbestätigt.","days if they are not confirmed."
"(Bitte lassen sie dieses Feld leer falls dies nicht erwünscht ist.)","(Don't fill in this field if it is undesired.)"
"Samstag reserviert","Saturday reserved"
"Der Standardpreis ist gültig wenn zum ausgewählten Zeitpunkt kein Saisonpreis angegeben wurde.","The standard price is valid if no saison price is available for the given period of time."
"Falls Sie ein Haus mit mehreren Zimmern vermieten und die Zimmer des Hauses und das Haus selbst vermieten wollen, können Sie hier die Zimmer zum Haus festlegen. Das Haus und die Zimmer müssen vorher angelegt worden sein.","If you have a house with rooms and if you wish to rent the rooms and the house you can but rooms to the house with this function. The house and the rooms must already exists."
"Zimmer zusammenfassen","Merge rooms"
"Haus","House"
"Folgende Zimmer gehören zum ausgewählten Haus","The following rooms are part of the selected house"
"Bitte wählen Sie die Zimmer zum ausgewählten Haus.","Please choose the rooms to the selected house."
"Bilder hochladen","Upload pictures"
"Standardpreise bearbeiten","Edit standard prices"
"Bestehende Zuweisungen:","Existing merges:"
"Neue Zuweisungen:","New merging:"
"Achtung! Das Verzeichnis 'upload' ist nicht beschreibbar, Sie können erst Bilder hochladen wenn Sie diesem Verzeichnis Schreibrechte zuweisen!","The forder 'upload' is not writeable! You could not upload pictures!"
"Bilder und Beschreibungen im Belegungsplan anzeigen","Show pictures and descriptions in the availability overview"
"Keine Reservierungen für diesen Gast vorhanden.","There are no reservations for this guest in the database."
